THM	THEMATIC
ABS	ABSOLUTIVE
ERG	ERGATIVE
IND	INDUCIVE
AFF	AFFECTIVE
DAT	DATIVE
EFF	EFFECTUATIVE
STM	STIMULATIVE
INS	INSTRUMENTAL
POS	POSSESSIVE
PRP	PROPRIETIVE
GEN	GENITIVE
ATT	ATTRIBUTIVE
PDC	PRODUCTIVE
ITP	INTERPRETIVE
OGN	ORIGINATIVE
IDP	INTERDEPENDENT
PAR	PARTITIVE
APL	APPLICATIVE
PUR	PURPOSIVE
TRA	TRANSMISSIVE
DFR	DEFERENTIAL
CRS	CONTRASTIVE
TSP	TRANSPOSITIVE
CMM	COMMUTATIVE
CMP	COMPARATIVE
CSD	CONSIDERATIVE
CON	CONCESSIVE
AVR	AVERSIVE
CVS	CONVERSIVE
SIT	SITUATIVE
FUN	FUNCTIVE
TFM	TRANSFORMATIVE
CLA	CLASSIFICATIVE
CSM	CONSUMPTIVE
RSL	RESULTATIVE
LOC	LOCATIVE
ATD	ATTENDANT
ALL	ALLATIVE
ABL	ABLATIVE
ORI	ORIENTATIVE
IRL	INTERRELATIVE
INV	INTRATIVE
NAV	NAVIGATIVE
ASS	ASSESSIVE
CNR	CONCURSIVE
PER	PERIODIC
PRO	PROLAPSIVE
PCV	PRECURSIVE
PCR	POSTCURSIVE
ELP	ELAPSIVE
PLM	PROLIMITIVE
REF	REFERENTIAL
COR	CORRELATIVE
CPS	COMPOSITIVE
DEP	DEPENDENT
PRD	PREDICATIVE
ESS	ESSIVE
ASI	ASSIMILATIVE
CFM	CONFORMATIVE
ACT	ACTIVATIVE
SEL	SELECTIVE
COM	COMITATIVE
UTL	UTILITATIVE
DSC	DESCRIPTIVE
RLT	RELATIVE
TRM	TERMINATIVE
VOC	VOCATIVE
